MOSQUITTO_DB_SIZE_BYTES,SERVER_BW_LIMIT,IDLE_SERVER_BW_LIMIT,SSH_SETUP_DURATION_MS,TRANSFER_TIME_MS,TRANSFER_METHOD,DOWNTIME_SECONDS
152,100kbps,100kbps,558,252,scp,14
152,100kbps,100kbps,504,258,rsync,14
