publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,1,1,0,1,9,3.6764562386950326
1,1,1,0,1,10,3.6764562386950326
1,1,1,0,2,1,3.569319196396397
1,1,1,0,2,2,3.569319196396397
1,1,1,0,2,3,3.569319196396397
1,1,1,0,2,4,3.569319196396397
1,1,1,0,2,5,3.569319196396397
1,1,1,0,2,6,3.569319196396397
1,1,1,0,2,7,3.569319196396397
1,1,1,0,2,8,3.569319196396397
1,1,1,0,2,9,3.569319196396397
1,1,1,0,2,10,3.569319196396397
1,1,2,1,0,1,4.752406675590096
1,1,2,1,0,2,4.752406675590096
1,1,2,1,0,3,4.752406675590096
1,1,2,1,0,4,4.752406675590096
1,1,2,1,0,5,4.752406675590096
1,1,2,1,0,6,4.752406675590096
1,1,2,1,0,7,4.752406675590096
1,1,2,1,0,8,4.752406675590096
1,1,2,1,0,9,4.752406675590096
1,1,2,1,0,10,4.752406675590096
1,1,2,1,1,1,7.560575797196906
1,1,2,1,1,2,7.560575797196906
1,1,2,1,1,3,7.560575797196906
1,1,2,1,1,4,7.560575797196906
1,1,2,1,1,5,7.560575797196906
1,1,2,1,1,6,7.560575797196906
1,1,2,1,1,7,7.560575797196906
1,1,2,1,1,8,7.560575797196906
1,1,2,1,1,9,7.560575797196906
1,1,2,1,1,10,7.560575797196906
1,1,2,1,2,1,7.339058819505271
1,1,2,1,2,2,7.339058819505271
1,1,2,1,2,3,7.339058819505271
1,1,2,1,2,4,7.339058819505271
1,1,2,1,2,5,7.339058819505271
1,1,2,1,2,6,7.339058819505271
1,1,2,1,2,7,7.339058819505271
1,1,2,1,2,8,7.339058819505271
1,1,2,1,2,9,7.339058819505271
1,1,2,1,2,10,7.339058819505271
1,1,2,0,0,1,4.752406675590096
1,1,2,0,0,2,4.752406675590096
1,1,2,0,0,3,4.752406675590096
1,1,2,0,0,4,4.752406675590096
1,1,2,0,0,5,4.752406675590096
1,1,2,0,0,6,4.752406675590096
1,1,2,0,0,7,4.752406675590096
1,1,2,0,0,8,4.752406675590096
1,1,2,0,0,9,4.752406675590096
1,1,2,0,0,10,4.752406675590096
1,1,2,0,1,1,7.560575797196906
1,1,2,0,1,2,7.560575797196906
1,1,2,0,1,3,7.560575797196906
1,1,2,0,1,4,7.560575797196906
1,1,2,0,1,5,7.560575797196906
1,1,2,0,1,6,7.560575797196906
1,1,2,0,1,7,7.560575797196906
1,1,2,0,1,8,7.560575797196906
1,1,2,0,1,9,7.560575797196906
1,1,2,0,1,10,7.560575797196906
1,1,2,0,2,1,7.339058819505271
1,1,2,0,2,2,7.339058819505271
1,1,2,0,2,3,7.339058819505271
1,1,2,0,2,4,7.339058819505271
1,1,2,0,2,5,7.339058819505271
1,1,2,0,2,6,7.339058819505271
1,1,2,0,2,7,7.339058819505271
1,1,2,0,2,8,7.339058819505271
1,1,2,0,2,9,7.339058819505271
1,1,2,0,2,10,7.339058819505271
1,1,4,1,0,1,4.752406675590096
1,1,4,1,0,2,4.752406675590096
1,1,4,1,0,3,4.752406675590096
1,1,4,1,0,4,4.752406675590096
1,1,4,1,0,5,4.752406675590096
1,1,4,1,0,6,4.752406675590096
1,1,4,1,0,7,4.752406675590096
1,1,4,1,0,8,4.752406675590096
1,1,4,1,0,9,4.752406675590096
1,1,4,1,0,10,4.752406675590096
1,1,4,1,1,1,7.560575797196906
1,1,4,1,1,2,7.560575797196906
1,1,4,1,1,3,7.560575797196906
1,1,4,1,1,4,7.560575797196906
1,1,4,1,1,5,7.560575797196906
1,1,4,1,1,6,7.560575797196906
1,1,4,1,1,7,7.560575797196906
1,1,4,1,1,8,7.560575797196906
1,1,4,1,1,9,7.560575797196906
1,1,4,1,1,10,7.560575797196906
1,1,4,1,2,1,7.339058819505271
1,1,4,1,2,2,7.339058819505271
1,1,4,1,2,3,7.339058819505271
1,1,4,1,2,4,7.339058819505271
1,1,4,1,2,5,7.339058819505271
1,1,4,1,2,6,7.339058819505271
1,1,4,1,2,7,7.339058819505271
1,1,4,1,2,8,7.339058819505271
1,1,4,1,2,9,7.339058819505271
1,1,4,1,2,10,7.339058819505271
1,1,4,0,0,1,4.752406675590096
1,1,4,0,0,2,4.752406675590096
1,1,4,0,0,3,4.752406675590096
1,1,4,0,0,4,4.752406675590096
1,1,4,0,0,5,4.752406675590096
1,1,4,0,0,6,4.752406675590096
1,1,4,0,0,7,4.752406675590096
1,1,4,0,0,8,4.752406675590096
1,1,4,0,0,9,4.752406675590096
1,1,4,0,0,10,4.752406675590096
1,1,4,0,1,1,7.560575797196906
1,1,4,0,1,2,7.560575797196906
1,1,4,0,1,3,7.560575797196906
1,1,4,0,1,4,7.560575797196906
1,1,4,0,1,5,7.560575797196906
1,1,4,0,1,6,7.560575797196906
1,1,4,0,1,7,7.560575797196906
1,1,4,0,1,8,7.560575797196906
1,1,4,0,1,9,7.560575797196906
1,1,4,0,1,10,7.560575797196906
1,1,4,0,2,1,7.339058819505271
1,1,4,0,2,2,7.339058819505271
1,1,4,0,2,3,7.339058819505271
1,1,4,0,2,4,7.339058819505271
1,1,4,0,2,5,7.339058819505271
1,1,4,0,2,6,7.339058819505271
1,1,4,0,2,7,7.339058819505271
1,1,4,0,2,8,7.339058819505271
1,1,4,0,2,9,7.339058819505271
1,1,4,0,2,10,7.339058819505271
1,1,8,1,0,1,4.752406675590096
1,1,8,1,0,2,4.752406675590096
1,1,8,1,0,3,4.752406675590096
1,1,8,1,0,4,4.752406675590096
1,1,8,1,0,5,4.752406675590096
1,1,8,1,0,6,4.752406675590096
1,1,8,1,0,7,4.752406675590096
1,1,8,1,0,8,4.752406675590096
1,1,8,1,0,9,4.752406675590096
1,1,8,1,0,10,4.752406675590096
1,1,8,1,1,1,7.560575797196906
1,1,8,1,1,2,7.560575797196906
1,1,8,1,1,3,7.560575797196906
1,1,8,1,1,4,7.560575797196906
1,1,8,1,1,5,7.560575797196906
1,1,8,1,1,6,7.560575797196906
1,1,8,1,1,7,7.560575797196906
1,1,8,1,1,8,7.560575797196906
1,1,8,1,1,9,7.560575797196906
1,1,8,1,1,10,7.560575797196906
1,1,8,1,2,1,7.339058819505271
1,1,8,1,2,2,7.339058819505271
1,1,8,1,2,3,7.339058819505271
1,1,8,1,2,4,7.339058819505271
1,1,8,1,2,5,7.339058819505271
1,1,8,1,2,6,7.339058819505271
1,1,8,1,2,7,7.339058819505271
1,1,8,1,2,8,7.339058819505271
1,1,8,1,2,9,7.339058819505271
1,1,8,1,2,10,7.339058819505271
1,1,8,0,0,1,4.752406675590096
1,1,8,0,0,2,4.752406675590096
1,1,8,0,0,3,4.752406675590096
1,1,8,0,0,4,4.752406675590096
1,1,8,0,0,5,4.752406675590096
1,1,8,0,0,6,4.752406675590096
1,1,8,0,0,7,4.752406675590096
1,1,8,0,0,8,4.752406675590096
1,1,8,0,0,9,4.752406675590096
1,1,8,0,0,10,4.752406675590096
1,1,8,0,1,1,7.560575797196906
1,1,8,0,1,2,7.560575797196906
1,1,8,0,1,3,7.560575797196906
1,1,8,0,1,4,7.560575797196906
1,1,8,0,1,5,7.560575797196906
1,1,8,0,1,6,7.560575797196906
1,1,8,0,1,7,7.560575797196906
1,1,8,0,1,8,7.560575797196906
1,1,8,0,1,9,7.560575797196906
1,1,8,0,1,10,7.560575797196906
1,1,8,0,2,1,7.339058819505271
1,1,8,0,2,2,7.339058819505271
1,1,8,0,2,3,7.339058819505271
1,1,8,0,2,4,7.339058819505271
1,1,8,0,2,5,7.339058819505271
1,1,8,0,2,6,7.339058819505271
1,1,8,0,2,7,7.339058819505271
1,1,8,0,2,8,7.339058819505271
1,1,8,0,2,9,7.339058819505271
1,1,8,0,2,10,7.339058819505271
1,1,16,1,0,1,4.752406675590096
1,1,16,1,0,2,4.752406675590096
1,1,16,1,0,3,4.752406675590096
1,1,16,1,0,4,4.752406675590096
1,1,16,1,0,5,4.752406675590096
1,1,16,1,0,6,4.752406675590096
1,1,16,1,0,7,4.752406675590096
1,1,16,1,0,8,4.752406675590096
1,1,16,1,0,9,4.752406675590096
1,1,16,1,0,10,4.752406675590096
1,1,16,1,1,1,7.560575797196906
1,1,16,1,1,2,7.560575797196906
1,1,16,1,1,3,7.560575797196906
1,1,16,1,1,4,7.560575797196906
1,1,16,1,1,5,7.560575797196906
1,1,16,1,1,6,7.560575797196906
1,1,16,1,1,7,7.560575797196906
1,1,16,1,1,8,7.560575797196906
1,1,16,1,1,9,7.560575797196906
1,1,16,1,1,10,7.560575797196906
1,1,16,1,2,1,7.339058819505271
1,1,16,1,2,2,7.339058819505271
1,1,16,1,2,3,7.339058819505271
1,1,16,1,2,4,7.339058819505271
1,1,16,1,2,5,7.339058819505271
1,1,16,1,2,6,7.339058819505271
1,1,16,1,2,7,7.339058819505271
1,1,16,1,2,8,7.339058819505271
1,1,16,1,2,9,7.339058819505271
1,1,16,1,2,10,7.339058819505271
1,1,16,0,0,1,4.752406675590096
1,1,16,0,0,2,4.752406675590096
1,1,16,0,0,3,4.752406675590096
1,1,16,0,0,4,4.752406675590096
1,1,16,0,0,5,4.752406675590096
1,1,16,0,0,6,4.752406675590096
1,1,16,0,0,7,4.752406675590096
1,1,16,0,0,8,4.752406675590096
1,1,16,0,0,9,4.752406675590096
1,1,16,0,0,10,4.752406675590096
1,1,16,0,1,1,7.560575797196906
1,1,16,0,1,2,7.560575797196906
1,1,16,0,1,3,7.560575797196906
1,1,16,0,1,4,7.560575797196906
1,1,16,0,1,5,7.560575797196906
1,1,16,0,1,6,7.560575797196906
1,1,16,0,1,7,7.560575797196906
1,1,16,0,1,8,7.560575797196906
1,1,16,0,1,9,7.560575797196906
1,1,16,0,1,10,7.560575797196906
1,1,16,0,2,1,7.339058819505271
1,1,16,0,2,2,7.339058819505271
1,1,16,0,2,3,7.339058819505271
1,1,16,0,2,4,7.339058819505271
1,1,16,0,2,5,7.339058819505271
1,1,16,0,2,6,7.339058819505271
1,1,16,0,2,7,7.339058819505271
1,1,16,0,2,8,7.339058819505271
1,1,16,0,2,9,7.339058819505271
1,1,16,0,2,10,7.339058819505271
1,2,1,1,0,1,1.7203909437850233
1,2,1,1,0,2,1.7203909437850233
1,2,1,1,0,3,1.7203909437850233
1,2,1,1,0,4,1.7203909437850233
1,2,1,1,0,5,1.7203909437850233
1,2,1,1,0,6,1.7203909437850233
1,2,1,1,0,7,1.7203909437850233
1,2,1,1,0,8,1.7203909437850233
1,2,1,1,0,9,1.7203909437850233
1,2,1,1,0,10,1.7203909437850233
1,2,1,1,1,1,3.6721250003262123
1,2,1,1,1,2,3.6721250003262123
1,2,1,1,1,3,3.6721250003262123
