publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,1,8,0,0,10,3.504271215720148
1,1,8,0,1,1,3.8576894839127602
1,1,8,0,1,2,3.8576894839127602
1,1,8,0,1,3,3.8576894839127602
1,1,8,0,1,4,3.8576894839127602
1,1,8,0,1,5,3.8576894839127602
1,1,8,0,1,6,3.8576894839127602
1,1,8,0,1,7,3.8576894839127602
1,1,8,0,1,8,3.8576894839127602
1,1,8,0,1,9,3.8576894839127602
1,1,8,0,1,10,3.8576894839127602
1,1,8,0,2,1,3.904962211185488
1,1,8,0,2,2,3.904962211185488
1,1,8,0,2,3,3.904962211185488
1,1,8,0,2,4,3.904962211185488
1,1,8,0,2,5,3.904962211185488
1,1,8,0,2,6,3.904962211185488
1,1,8,0,2,7,3.904962211185488
1,1,8,0,2,8,3.904962211185488
1,1,8,0,2,9,3.904962211185488
1,1,8,0,2,10,3.904962211185488
1,1,16,1,0,1,3.504271215720148
1,1,16,1,0,2,3.504271215720148
1,1,16,1,0,3,3.504271215720148
1,1,16,1,0,4,3.504271215720148
1,1,16,1,0,5,3.504271215720148
1,1,16,1,0,6,3.504271215720148
1,1,16,1,0,7,3.504271215720148
1,1,16,1,0,8,3.504271215720148
1,1,16,1,0,9,3.504271215720148
1,1,16,1,0,10,3.504271215720148
1,1,16,1,1,1,3.8576894839127602
1,1,16,1,1,2,3.8576894839127602
1,1,16,1,1,3,3.8576894839127602
1,1,16,1,1,4,3.8576894839127602
1,1,16,1,1,5,3.8576894839127602
1,1,16,1,1,6,3.8576894839127602
1,1,16,1,1,7,3.8576894839127602
1,1,16,1,1,8,3.8576894839127602
1,1,16,1,1,9,3.8576894839127602
1,1,16,1,1,10,3.8576894839127602
1,1,16,1,2,1,3.904962211185488
1,1,16,1,2,2,3.904962211185488
1,1,16,1,2,3,3.904962211185488
1,1,16,1,2,4,3.904962211185488
1,1,16,1,2,5,3.904962211185488
1,1,16,1,2,6,3.904962211185488
1,1,16,1,2,7,3.904962211185488
1,1,16,1,2,8,3.904962211185488
1,1,16,1,2,9,3.904962211185488
1,1,16,1,2,10,3.904962211185488
1,1,16,0,0,1,3.504271215720148
1,1,16,0,0,2,3.504271215720148
1,1,16,0,0,3,3.504271215720148
1,1,16,0,0,4,3.504271215720148
1,1,16,0,0,5,3.504271215720148
1,1,16,0,0,6,3.504271215720148
1,1,16,0,0,7,3.504271215720148
1,1,16,0,0,8,3.504271215720148
1,1,16,0,0,9,3.504271215720148
1,1,16,0,0,10,3.504271215720148
1,1,16,0,1,1,3.8576894839127602
1,1,16,0,1,2,3.8576894839127602
1,1,16,0,1,3,3.8576894839127602
1,1,16,0,1,4,3.8576894839127602
1,1,16,0,1,5,3.8576894839127602
1,1,16,0,1,6,3.8576894839127602
1,1,16,0,1,7,3.8576894839127602
1,1,16,0,1,8,3.8576894839127602
1,1,16,0,1,9,3.8576894839127602
1,1,16,0,1,10,3.8576894839127602
1,1,16,0,2,1,3.904962211185488
1,1,16,0,2,2,3.904962211185488
1,1,16,0,2,3,3.904962211185488
1,1,16,0,2,4,3.904962211185488
1,1,16,0,2,5,3.904962211185488
1,1,16,0,2,6,3.904962211185488
1,1,16,0,2,7,3.904962211185488
1,1,16,0,2,8,3.904962211185488
1,1,16,0,2,9,3.904962211185488
1,1,16,0,2,10,3.904962211185488
1,2,1,1,0,1,1.9969164327359112
1,2,1,1,0,2,1.9969164327359112
1,2,1,1,0,3,1.9969164327359112
1,2,1,1,0,4,1.9969164327359112
1,2,1,1,0,5,1.9969164327359112
1,2,1,1,0,6,1.9969164327359112
1,2,1,1,0,7,1.9969164327359112
1,2,1,1,0,8,1.9969164327359112
1,2,1,1,0,9,1.9969164327359112
1,2,1,1,0,10,1.9969164327359112
1,2,1,1,1,1,2.464314402936732
1,2,1,1,1,2,2.464314402936732
1,2,1,1,1,3,2.464314402936732
1,2,1,1,1,4,2.464314402936732
1,2,1,1,1,5,2.464314402936732
1,2,1,1,1,6,2.464314402936732
1,2,1,1,1,7,2.464314402936732
1,2,1,1,1,8,2.464314402936732
1,2,1,1,1,9,2.464314402936732
1,2,1,1,1,10,2.464314402936732
1,2,1,1,2,1,2.1169509825091772
1,2,1,1,2,2,2.1169509825091772
1,2,1,1,2,3,2.1169509825091772
1,2,1,1,2,4,2.1169509825091772
1,2,1,1,2,5,2.1169509825091772
1,2,1,1,2,6,2.1169509825091772
1,2,1,1,2,7,2.1169509825091772
1,2,1,1,2,8,2.1169509825091772
1,2,1,1,2,9,2.1169509825091772
1,2,1,1,2,10,2.1169509825091772
1,2,1,0,0,1,1.9969164327359112
1,2,1,0,0,2,1.9969164327359112
1,2,1,0,0,3,1.9969164327359112
1,2,1,0,0,4,1.9969164327359112
1,2,1,0,0,5,1.9969164327359112
1,2,1,0,0,6,1.9969164327359112
1,2,1,0,0,7,1.9969164327359112
1,2,1,0,0,8,1.9969164327359112
1,2,1,0,0,9,1.9969164327359112
1,2,1,0,0,10,1.9969164327359112
1,2,1,0,1,1,2.464314402936732
1,2,1,0,1,2,2.464314402936732
1,2,1,0,1,3,2.464314402936732
1,2,1,0,1,4,2.464314402936732
1,2,1,0,1,5,2.464314402936732
1,2,1,0,1,6,2.464314402936732
1,2,1,0,1,7,2.464314402936732
1,2,1,0,1,8,2.464314402936732
1,2,1,0,1,9,2.464314402936732
